RED1,IR1
44,19
48,32
52,56
42,35
47,25
53,88
50,14
44,63
43,35
40,73
47,99
47,0
45,61
39,56
45,36
52,35
38,86
40,8
41,100
44,12
42,6
52,47
45,27
46,37
47,68
51,81
42,56
46,86
42,29
44,34
47,14
54,42
51,58
49,65
45,1
49,35
49,68
43,14
61,74
45,13
49,41
44,28
32,74
51,46
47,37
44,27
43,14
46,52
36,21
37,44
31,22
49,84
54,9
45,7
45,5
45,40
33,56
30,41
43,85
53,44
39,22
49,86
36,46
38,24
52,72
52,33
56,68
46,28
44,54
48,59
48,75
48,31
42,6
46,50
45,79
42,38
47,35
50,4
52,39
47,73
50,40
50,54
48,56
41,4
61,44
50,46
49,34
43,38
56,46
46,23
42,85
54,20
51,32
50,19
46,66
43,17
41,55
43,61
48,64
51,36
45,0
42,62
46,23
48,57
48,69
42,26
42,62
43,5
52,60
42,53
43,80
45,0
42,54
40,15
45,63
49,26
41,82
49,78
35,1
49,45
33,12
46,39
41,19
51,30
46,50
46,103
46,3
39,22
55,25
43,85
44,40
39,62
44,53
48,42
47,94
46,73
42,38
38,10
49,10
59,36
46,32
42,43
49,18
37,71
49,24
47,48
39,33
42,97
48,22
43,113
33,3
42,33
44,88
48,10
38,13
50,37
48,88
38,37
49,73
39,41
45,49
49,48
48,0
45,41
45,6
46,74
43,9
39,23
48,28
44,62
44,91
52,12
53,73
47,52
42,49
42,33
45,85
52,97
44,0
43,35
50,1
42,65
53,31
55,88
41,30
41,45
60,49
41,20
35,40
40,66
54,33
57,68
35,5
44,124
47,27
46,4
51,35
30,74
55,45
56,85
41,47
48,28
40,35
42,28
47,80
46,9
48,1
51,48
42,72
44,13
46,80
56,40
48,31
48,15
53,10
45,54
47,22
55,28
47,19
47,108
47,6
46,29
46,43
47,56
44,50
42,67
53,4
41,75
47,0
44,61
53,1
37,32
49,71
47,12
54,47
42,42
53,89
54,34
50,83
39,13
41,15
49,31
43,88
49,19
47,75
38,23
51,41
39,81
49,29
53,90
54,29
54,33
43,29
55,71
48,49
46,31
47,81
35,2
38,35
48,31
34,47
49,60
47,75
51,20
39,47
51,1
35,37
44,42
51,14
49,69
41,2
41,32
51,43
33,45
46,55
53,89
51,3
51,38
40,50
37,38
46,31
40,88
38,39
65,30
46,65
50,7
48,48
43,21
39,54
49,20
48,46
56,22
32,35
52,9
44,42
49,11
48,78
37,27
50,30
46,44
41,31
47,77
48,45
43,24
41,37
48,77
39,6
43,34
56,93
58,43
46,34
37,61
45,14
47,30
50,59
50,45
46,45
41,47
56,84
47,36
38,11
48,56
39,20
47,60
40,36
45,43
46,71
49,23
31,45
50,100
36,36
47,27
51,43
38,66
46,23
50,21
44,44
43,24
41,42
57,84
47,34
50,72
33,50
51,0
47,49
45,36
41,74
48,7
45,84
50,22
31,11
37,80
40,60
42,21
37,27
40,83
44,36
37,104
49,5
49,45
54,13
58,65
42,6
54,22
54,70
46,6
48,34
41,6
60,25
59,59
47,59
46,32
48,86
49,43
48,50
43,44
46,45
53,34
38,60
45,51
52,68
47,19
45,10
47,36
45,75
53,88
49,0
44,21
52,19
38,23
41,82
47,18
37,27
51,58
46,11
49,0
45,40
47,55
46,81
51,20
63,29
37,67
48,5
46,41
40,42
42,24
53,54
51,26
52,25
51,87
44,0
45,25
49,74
53,68
52,43
44,85
57,0
38,51
44,76
48,24
48,83
44,17
48,44
50,20
48,17
47,32
48,80
51,1
43,83
39,14
48,56
43,37
46,52
39,86
51,20
40,65
47,17
52,73
45,41
46,23
44,48
40,86
43,46
44,11
32,67
31,31
47,79
39,26
46,84
52,69
42,98
46,9
38,59
42,18
40,72
44,28
42,75
46,57
47,71
46,22
49,77
47,7
40,40
43,107
49,19
40,32
49,42
43,3
44,38
52,66
48,72
44,65
37,0
41,49
44,24
52,26
43,79
45,40
40,33
38,51
55,38
43,108
51,55
48,82
40,22
53,74
43,53
53,62
50,18
38,41
45,60
49,68
40,17
53,24
44,53
45,4
49,21
47,14
41,78
43,18
50,1
42,44
48,6
49,76
44,9
47,39
48,59
34,13
46,27
50,45
41,64
46,52
54,68
36,26
54,62
48,54
41,53
51,21
42,48
56,62
49,3
52,39
52,18
36,28
48,85
35,5
30,32
54,46
62,29
52,28
38,67
55,17
45,40
43,74
50,42
46,22
50,34
46,53
38,79
44,23
50,97
54,14
42,65
36,86
38,35
46,20
36,61
45,29
47,62
38,48
45,13
47,36
36,66
41,12
47,38
49,100
47,12
40,2
51,33
38,39
46,57
39,30
37,52
42,61
42,16
47,24
49,43
37,26
49,25
41,9
51,35
43,11
41,21
47,26
40,84
47,30
50,33
48,61
48,94
55,3
42,76
37,43
42,23
57,77
50,5
53,32
47,25
46,48
41,7
41,87
40,13
42,81
44,44
48,96
54,12
48,54
41,30
44,34
46,37
51,32
66,16
45,23
46,23
36,47
46,63
40,25
50,58
52,50
37,32
43,48
38,13
46,81
45,4
43,36
39,20
41,48
46,37
40,40
39,80
44,15
53,41
43,65
57,35
44,63
43,21
43,34
50,98
50,32
34,68
46,39
53,38
37,54
45,45
45,47
53,59
41,8
31,55
51,28
44,94
53,10
43,26
47,22
44,46
54,31
45,65
40,10
42,42
43,65
59,16
40,74
64,35
38,32
53,37
54,37
45,62
45,17
39,65
42,32
57,42
49,83
44,18
52,64
44,25
41,77
53,6
59,30
54,91
45,33
46,32
41,44
45,83
44,4
50,72
49,46
42,46
43,19
47,53
44,16
43,43
44,77
42,30
40,63
45,9
46,50
51,17
46,69
58,27
40,85
51,26
44,62
48,33
49,96
39,52
38,32
57,83
39,10
44,62
47,62
49,93
49,3
53,91
43,51
44,32
53,43
52,61
45,55
41,19
37,10
57,37
43,38
38,16
44,39
44,91
39,8
35,50
50,72
51,60
45,1
49,33
53,60
45,17
57,24
48,92
46,4
37,72
43,48
28,84
47,37
43,78
48,41
58,53
46,51
48,23
45,53
39,30
53,42
43,33
43,78
47,11
45,58
43,41
41,83
47,12
47,39
43,58
48,30
45,99
41,10
51,46
45,43
58,32
38,17
47,69
50,15
46,79
49,29
44,77
54,3
45,47
49,26
36,32
57,51
46,4
44,24
44,32
49,58
53,51
52,85
47,5
53,37
52,31
43,20
61,48
47,98
37,42
57,2
43,33
46,74
44,53
43,53
45,62
53,4
52,47
49,47
44,62
42,44
39,53
57,29
50,9
41,48
38,9
37,43
43,17
35,92
42,0
37,61
43,53
53,92
37,8
38,47
41,46
54,88
50,81
50,11
33,38
46,56
47,49
38,37
41,63
55,51
38,14
44,51
57,15
35,35
45,37
51,36
54,26
51,61
56,11
42,53
44,44
46,92
64,46
46,82
51,13
44,81
42,6
44,3
39,36
50,84
45,13
57,25
43,32
42,60
47,48
47,37
53,46
62,30
41,60
56,8
37,82
41,20
42,78
53,89
54,16
44,101
53,25
52,64
40,94
43,3
37,16
48,86
46,0
39,45
37,4
45,35
48,31
45,60
52,32
51,32
55,22
56,21
44,63
49,44
40,71
61,6
52,74
53,25
39,99
48,18
49,38
44,4
48,89
41,18
45,47
43,98
43,34
48,21
41,35
51,74
50,21
35,27
55,41
45,85
50,20
47,24
33,24
48,0
43,34
55,50
46,33
52,29
52,84
42,26
45,89
49,5
50,89
53,18
51,67
49,0
39,3
35,32
51,18
51,103
56,1
45,32
38,64
40,65
49,20
46,74
42,0
45,35
37,25
49,70
55,27
48,110
54,16
48,99
43,46
46,67
52,78
40,51
43,86
49,0
42,62
44,18
53,38
43,79
46,4
37,40
57,15
42,42
46,35
43,65
53,13
41,84
34,6
46,41
40,42
34,15
46,81
49,0
49,36
52,83
50,44
59,15
46,34
42,105
45,5
41,73
31,46
46,21
53,94
52,14
43,46
43,17
37,58
54,26
47,78
38,55
58,70
57,28
50,0
52,44
52,41
36,94
38,16
49,49
55,26
45,19
39,43
40,96
51,26
42,53
53,42
54,49
42,86
57,24
51,68
38,17
48,95
54,25
47,72
32,6
39,15
51,29
37,37
48,9
52,32
44,22
57,94
54,5
36,25
42,41
45,13
45,85
53,2
41,48
53,81
44,18
24,48
44,17
47,95
54,2
56,36
42,74
39,55
46,39
53,84
54,14
35,51
38,24
37,71
40,23
48,41
34,40
48,59
43,41
42,63
28,48
39,64
55,47
48,5
46,17
45,2
35,28
45,22
54,23
51,35
46,73
40,31
56,59
48,77
49,8
49,30
43,71
56,23
42,12
47,103
38,10
44,48
43,52
48,16
48,84
41,9
44,40
48,62
47,30
37,62
40,66
46,94
47,9
54,35
33,60
48,27
40,71
57,25
39,37
48,11
50,5
40,20
50,98
55,15
40,72
42,27
47,42
49,82
30,21
36,26
47,66
47,40
42,22
41,45
35,4
45,40
51,29
49,100
40,32
48,55
42,30
52,59
61,73
